label1,label2,loss,T,mean_d,DM_stat,p_value,significant,better_model,ticker
HAR_base,HAR_aug,mse,500,1.319e-05,0.7797,0.436,False,HAR_aug,SPY
HAR_base,GARCH_base,mse,500,-3.45e-06,-0.2099,0.8338,False,HAR_base,SPY
HAR_base,XGB_base,mse,500,2.77e-06,0.2129,0.8315,False,XGB_base,SPY
HAR_base,XGB_aug,mse,500,1.438e-05,1.0835,0.2791,False,XGB_aug,SPY
HAR_base,HARNet_base,mse,500,3.123e-05,2.3353,0.0199,True,HARNet_base,SPY
HAR_base,HARNet_aug,mse,500,3.58e-05,2.459,0.0143,True,HARNet_aug,SPY
HAR_aug,GARCH_base,mse,500,-1.664e-05,-1.2749,0.2029,False,HAR_aug,SPY
HAR_aug,XGB_base,mse,500,-1.041e-05,-0.7818,0.4347,False,HAR_aug,SPY
HAR_aug,XGB_aug,mse,500,1.2e-06,0.1066,0.9152,False,XGB_aug,SPY
HAR_aug,HARNet_base,mse,500,1.805e-05,1.3561,0.1757,False,HARNet_base,SPY
HAR_aug,HARNet_aug,mse,500,2.261e-05,1.5709,0.1168,False,HARNet_aug,SPY
GARCH_base,XGB_base,mse,500,6.23e-06,0.4239,0.6719,False,XGB_base,SPY
GARCH_base,XGB_aug,mse,500,1.784e-05,1.3706,0.1711,False,XGB_aug,SPY
GARCH_base,HARNet_base,mse,500,3.469e-05,2.4415,0.015,True,HARNet_base,SPY
GARCH_base,HARNet_aug,mse,500,3.925e-05,2.7849,0.0056,True,HARNet_aug,SPY
XGB_base,XGB_aug,mse,500,1.161e-05,1.1122,0.2666,False,XGB_aug,SPY
XGB_base,HARNet_base,mse,500,2.846e-05,2.7794,0.0057,True,HARNet_base,SPY
XGB_base,HARNet_aug,mse,500,3.303e-05,2.9158,0.0037,True,HARNet_aug,SPY
XGB_aug,HARNet_base,mse,500,1.685e-05,1.4795,0.1396,False,HARNet_base,SPY
XGB_aug,HARNet_aug,mse,500,2.142e-05,1.8817,0.0605,False,HARNet_aug,SPY
HARNet_base,HARNet_aug,mse,500,4.57e-06,0.4286,0.6684,False,HARNet_aug,SPY
HAR_base,HAR_aug,mse,500,-2.361e-05,-0.6872,0.4923,False,HAR_base,QQQ
HAR_base,GARCH_base,mse,500,-5.801e-05,-1.0807,0.2804,False,HAR_base,QQQ
HAR_base,XGB_base,mse,500,-2.573e-05,-0.6132,0.54,False,HAR_base,QQQ
HAR_base,XGB_aug,mse,500,-6.113e-05,-1.7157,0.0868,False,HAR_base,QQQ
HAR_base,HARNet_base,mse,500,-5.765e-05,-1.7303,0.0842,False,HAR_base,QQQ
HAR_base,HARNet_aug,mse,500,-2.494e-05,-0.8025,0.4227,False,HAR_base,QQQ
HAR_aug,GARCH_base,mse,500,-3.44e-05,-0.7244,0.4691,False,HAR_aug,QQQ
HAR_aug,XGB_base,mse,500,-2.11e-06,-0.0575,0.9542,False,HAR_aug,QQQ
HAR_aug,XGB_aug,mse,500,-3.751e-05,-1.2185,0.2236,False,HAR_aug,QQQ
HAR_aug,HARNet_base,mse,500,-3.404e-05,-1.1321,0.2581,False,HAR_aug,QQQ
HAR_aug,HARNet_aug,mse,500,-1.33e-06,-0.046,0.9633,False,HAR_aug,QQQ
GARCH_base,XGB_base,mse,500,3.229e-05,0.5642,0.5728,False,XGB_base,QQQ
GARCH_base,XGB_aug,mse,500,-3.12e-06,-0.0647,0.9484,False,GARCH_base,QQQ
GARCH_base,HARNet_base,mse,500,3.6e-07,0.0066,0.9948,False,HARNet_base,QQQ
GARCH_base,HARNet_aug,mse,500,3.307e-05,0.6703,0.503,False,HARNet_aug,QQQ
XGB_base,XGB_aug,mse,500,-3.54e-05,-0.9041,0.3664,False,XGB_base,QQQ
XGB_base,HARNet_base,mse,500,-3.193e-05,-0.9121,0.3621,False,XGB_base,QQQ
XGB_base,HARNet_aug,mse,500,7.8e-07,0.0249,0.9802,False,HARNet_aug,QQQ
XGB_aug,HARNet_base,mse,500,3.48e-06,0.1026,0.9183,False,HARNet_base,QQQ
XGB_aug,HARNet_aug,mse,500,3.619e-05,1.0851,0.2784,False,HARNet_aug,QQQ
HARNet_base,HARNet_aug,mse,500,3.271e-05,1.0913,0.2757,False,HARNet_aug,QQQ
HAR_base,HAR_aug,mse,500,0.0001249,1.0336,0.3018,False,HAR_aug,AAPL
HAR_base,GARCH_base,mse,500,0.00022257,1.0082,0.3139,False,GARCH_base,AAPL
HAR_base,XGB_base,mse,500,0.00025693,2.0316,0.0427,True,XGB_base,AAPL
HAR_base,XGB_aug,mse,500,0.00018256,1.5792,0.1149,False,XGB_aug,AAPL
HAR_base,HARNet_base,mse,500,0.000247,1.92,0.0554,False,HARNet_base,AAPL
HAR_base,HARNet_aug,mse,500,0.00015455,1.2449,0.2137,False,HARNet_aug,AAPL
HAR_aug,GARCH_base,mse,500,9.767e-05,0.6823,0.4953,False,GARCH_base,AAPL
HAR_aug,XGB_base,mse,500,0.00013204,1.4091,0.1594,False,XGB_base,AAPL
HAR_aug,XGB_aug,mse,500,5.766e-05,0.6057,0.545,False,XGB_aug,AAPL
HAR_aug,HARNet_base,mse,500,0.0001221,1.5795,0.1148,False,HARNet_base,AAPL
HAR_aug,HARNet_aug,mse,500,2.965e-05,0.3371,0.7362,False,HARNet_aug,AAPL
GARCH_base,XGB_base,mse,500,3.437e-05,0.2263,0.8211,False,XGB_base,AAPL
GARCH_base,XGB_aug,mse,500,-4.001e-05,-0.2472,0.8049,False,GARCH_base,AAPL
GARCH_base,HARNet_base,mse,500,2.443e-05,0.1656,0.8685,False,HARNet_base,AAPL
GARCH_base,HARNet_aug,mse,500,-6.802e-05,-0.493,0.6222,False,GARCH_base,AAPL
XGB_base,XGB_aug,mse,500,-7.438e-05,-0.8203,0.4124,False,XGB_base,AAPL
XGB_base,HARNet_base,mse,500,-9.94e-06,-0.1215,0.9033,False,XGB_base,AAPL
XGB_base,HARNet_aug,mse,500,-0.00010238,-1.2167,0.2243,False,XGB_base,AAPL
XGB_aug,HARNet_base,mse,500,6.444e-05,0.7432,0.4577,False,HARNet_base,AAPL
XGB_aug,HARNet_aug,mse,500,-2.801e-05,-0.3534,0.724,False,XGB_aug,AAPL
HARNet_base,HARNet_aug,mse,500,-9.245e-05,-1.0325,0.3023,False,HARNet_base,AAPL
